Total Population,Female Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country,Male Population
1352617328.0,649574719.0,31.324362068965517,12.256448275862068,8.0,24.6860008239746,43.8600006103516,57.060001373291,18.7479991912842,2.55100011825562,2718732231257.57,3.4704257093818938,-27691371968.2679,396987486510.142,335.1823706956946,48.43532067827557,54.656074326897325,2018,India,703042609.0
1338658835.0,642787641.0,18.083,7.21,8.0,24.4729995727539,44.5219993591309,57.625,18.6879997253418,2.55699992179871,2652242857923.91,4.02569648366209,-28673153563.1891,414265878403.349,335.1823706956946,48.43532067827557,54.656074326897325,2017,India,695871194.0
1324509589.0,635908885.0,18.332,7.195,8.0,24.2889995574951,45.1240005493164,58.1629981994629,18.6159992218018,2.73000001907349,2290432075123.75,6.40443296724418,-26300115592.1994,372190852855.141,335.1823706956946,48.43532067827557,54.656074326897325,2016,India,688600704.0
1310152403.0,628929065.0,18.625,7.194,8.0,24.3390007019043,45.5589981079102,58.5950012207031,18.6660003662109,2.78200006484985,2103587813812.75,7.60797630092887,-24405488068.3077,340244981475.06,335.1823706956946,36.0212225652817,54.656074326897325,2015,India,681223338.0
1295604184.0,621854638.0,18.984,7.212,8.0,24.3799991607666,46.0719985961914,59.0880012512207,18.7240009307861,2.76500010490417,2039127446298.55,5.77233368819276,-24112069639.3408,342408945451.364,804.514228089279,36.651837856374,73.5769790878008,2014,India,673749546.0
1280846129.0,614678382.0,19.416,7.251,8.0,24.3589992523193,46.5989990234375,59.5779991149902,18.7450008392334,2.82299995422363,1856722121394.53,4.48117874750693,-23120564441.7779,318398573401.827,764.198741627301,37.8498411784972,72.2854586440549,2013,India,666167747.0
1265782790.0,607361114.0,19.923,7.312,8.0,24.3549995422363,47.0040016174316,59.9679985046387,18.7670001983643,2.69000005722046,1827637859135.7,4.82631993550879,-21460196915.5895,307872488771.18,723.235461275311,38.3908901522843,72.419079459491,2012,India,658421676.0
1250288729.0,599851725.0,20.495,7.393,8.0,23.5209999084473,48.9609985351563,62.7970008850098,18.253999710083,2.51900005340576,1823050405350.42,3.65492123167246,-16031217720.6473,313418286562.399,696.842241149244,38.9317402139462,71.4717185048681,2011,India,650437004.0
1234281170.0,592116985.0,21.114,7.492,8.0,22.3780002593994,51.0559997558594,65.6070022583008,17.5690002441406,2.44400000572205,1675615335600.56,9.08908113342606,-17955015341.6648,285298796155.585,640.394603119482,39.4815087312075,71.4046951586205,2010,India,642164185.0
1217726215.0,584142640.0,21.755,7.602,8.0,21.6060009002686,52.1240005493164,66.9810028076172,16.7169990539551,2.47499990463257,1341886602798.69,7.90797514011994,-8009493357.38992,224689117965.083,598.498242891158,40.7708275885812,71.1434979201925,2009,India,633583575.0
