Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country
57779622.0,29290888.0,28488734.0,30.794948275862073,11.900172413793106,9.0,23.2430000305176,5.15700006484985,3.66300010681152,12.1350002288818,26.9580001831055,368288939768.322,1.0819449232885225,-11640181654.6899,8014039701.07074,3991.571086873487,17.249617595115552,87.4075277303104,2018,South Africa
57000451.0,28883601.0,28116850.0,20.908,9.498,9.0,23.3010005950928,5.22200012207031,3.71900010108948,12.2379999160767,27.3269996643066,349554116683.818,0.803560382690137,-10483365758.0242,8253798946.8861,3991.571086873487,17.249617595115552,87.4075277303104,2017,South Africa
56203654.0,28469912.0,27733742.0,21.314,9.599,9.0,23.3339996337891,5.57200002670288,3.88599991798401,11.9350004196167,26.5510005950928,296357282715.109,-1.65270521518327,-8190335037.52855,6591156314.58719,3991.571086873487,17.249617595115552,87.4075277303104,2016,South Africa
55386367.0,28049364.0,27337003.0,21.719,9.769,9.0,23.8279991149902,5.61299991607666,4.24399995803833,11.7550001144409,25.1560001373291,317620522794.827,2.34840111189078,-7871410981.35789,6634302430.4548,3991.571086873487,17.1501412476598,87.4075277303104,2015,South Africa
54545991.0,27621049.0,26924942.0,22.113,10.044,9.0,23.4220008850098,4.65000009536743,3.2039999961853,12.0570001602173,24.8980007171631,350904575292.317,0.534065570389245,-9363726900.52008,7631145522.1128,4197.90704691753,16.5881622011429,86.7914316914016,2014,South Africa
53689236.0,27187877.0,26501359.0,22.483,10.43,9.0,23.5200004577637,4.98199987411499,3.49399995803833,12.4270000457764,24.5690002441406,366829390478.954,-0.338116367725831,-9615137510.10342,7695186690.43128,4285.47726028361,16.0973939680517,86.5753045830766,2013,South Africa
52834005.0,26757946.0,26076059.0,22.815,10.918,9.0,23.4459991455078,4.83799982070923,3.59899997711182,12.2779998779297,24.7320003509521,396332702639.496,0.399049261659997,-10759692566.2919,8598349748.4744,4365.91925976462,16.6328854467481,87.1552338062339,2012,South Africa
52004172.0,26341936.0,25662236.0,23.097,11.483,9.0,24.1770000457764,4.59999990463257,3.45499992370605,12.9670000076294,24.6529998779297,416418874936.304,2.62020828315525,-10650039250.2513,9517139028.52185,4566.28748939604,16.9785947586075,87.0396420075922,2011,South Africa
51216964.0,25947464.0,25269500.0,23.305,12.085,9.0,24.4029998779297,4.85599994659424,3.78099989891052,13.0430002212524,24.693000793457,375349442837.24,2.46546954570645,-8004015735.12539,8960990930.44856,4542.59647252813,17.0798023283017,87.4612414084292,2010,South Africa
50477011.0,25576553.0,24900458.0,23.417,12.677,9.0,25.2530002593994,5.06899976730347,3.62899994850159,13.1309995651245,23.5380001068115,295936485832.635,3.10365640514061,-6627447278.04855,8030022304.30627,4428.15443251979,15.5702925251554,87.6756697252912,2009,South Africa
